Gmt time,Open,High,Low,Close,Volume
08.02.2017 19:00:00.000,1.31687,1.31688,1.31528,1.31553,5674290039.0625
08.02.2017 20:00:00.000,1.31553,1.31646,1.31484,1.31539,5953229980.4688
08.02.2017 21:00:00.000,1.31538,1.31551,1.31346,1.31437,3569189941.4063
08.02.2017 22:00:00.000,1.31443,1.31497,1.31382,1.31407,2229919921.875
08.02.2017 23:00:00.000,1.31408,1.31470,1.31394,1.31464,4792250000
09.02.2017 00:00:00.000,1.31462,1.31553,1.31449,1.31533,5023779785.1563
09.02.2017 01:00:00.000,1.31534,1.31619,1.31518,1.31595,4181839843.75
09.02.2017 02:00:00.000,1.31595,1.31682,1.31575,1.31608,5002009765.625
09.02.2017 03:00:00.000,1.31607,1.31637,1.31439,1.31505,4972250000
09.02.2017 04:00:00.000,1.31506,1.31598,1.31502,1.31536,3076830078.125
09.02.2017 05:00:00.000,1.31538,1.31577,1.31523,1.31553,3255459960.9375
09.02.2017 06:00:00.000,1.31554,1.31557,1.31506,1.31553,3185580078.125
09.02.2017 07:00:00.000,1.31552,1.31573,1.31482,1.31507,4947750000
09.02.2017 08:00:00.000,1.31511,1.31511,1.31307,1.31392,7126390136.7188
09.02.2017 09:00:00.000,1.31391,1.31409,1.31128,1.31192,5349689941.4063
09.02.2017 10:00:00.000,1.31193,1.31255,1.31164,1.31246,3935429931.6406
09.02.2017 11:00:00.000,1.31246,1.31352,1.31215,1.31335,6398220214.8438
09.02.2017 12:00:00.000,1.31334,1.31356,1.31139,1.31146,6169339843.75
09.02.2017 13:00:00.000,1.31147,1.31228,1.31051,1.31133,9637169921.875
09.02.2017 14:00:00.000,1.31133,1.31363,1.30943,1.31333,12014730468.75
09.02.2017 15:00:00.000,1.31332,1.31478,1.31153,1.31285,18793990234.375
09.02.2017 16:00:00.000,1.31287,1.31443,1.31233,1.31395,10647929687.5
09.02.2017 17:00:00.000,1.31394,1.31425,1.31132,1.31158,8230580078.125
09.02.2017 18:00:00.000,1.31152,1.31315,1.31131,1.31308,8325309570.3125
09.02.2017 19:00:00.000,1.31304,1.31439,1.31288,1.31358,6255910156.25
09.02.2017 20:00:00.000,1.31358,1.31460,1.31347,1.31404,5076540039.0625
09.02.2017 21:00:00.000,1.31405,1.31487,1.31344,1.31446,3134120117.1875
09.02.2017 22:00:00.000,1.31446,1.31462,1.31350,1.31358,1195369995.1172
09.02.2017 23:00:00.000,1.31358,1.31480,1.31344,1.31377,3613280029.2969
10.02.2017 00:00:00.000,1.31377,1.31468,1.31322,1.31459,6259160156.25
10.02.2017 01:00:00.000,1.31459,1.31459,1.31341,1.31344,5852939941.4063
10.02.2017 02:00:00.000,1.31344,1.31361,1.31306,1.31307,3648510009.7656
10.02.2017 03:00:00.000,1.31307,1.31311,1.31209,1.31245,4122810058.5938
10.02.2017 04:00:00.000,1.31243,1.31296,1.31232,1.31292,3404939941.4063
10.02.2017 05:00:00.000,1.31293,1.31414,1.31292,1.31398,3782949951.1719
10.02.2017 06:00:00.000,1.31395,1.31410,1.31302,1.31307,2624760009.7656
10.02.2017 07:00:00.000,1.31307,1.31440,1.31273,1.31433,5764330078.125
10.02.2017 08:00:00.000,1.31434,1.31579,1.31434,1.31514,7662020019.5313
10.02.2017 09:00:00.000,1.31513,1.31529,1.31329,1.31427,7104419921.875
10.02.2017 10:00:00.000,1.31427,1.31542,1.31399,1.31490,5877959960.9375
10.02.2017 11:00:00.000,1.31491,1.31526,1.31439,1.31510,6084859863.2813
10.02.2017 12:00:00.000,1.31510,1.31512,1.31278,1.31364,7082229980.4688
10.02.2017 13:00:00.000,1.31364,1.31400,1.30694,1.30951,12788459960.9375
10.02.2017 14:00:00.000,1.30951,1.31000,1.30752,1.30771,11867370117.1875
10.02.2017 15:00:00.000,1.30768,1.30915,1.30627,1.30755,14087370117.1875
10.02.2017 16:00:00.000,1.30753,1.30836,1.30671,1.30736,10342169921.875
10.02.2017 17:00:00.000,1.30736,1.30804,1.30673,1.30796,7419089843.75
10.02.2017 18:00:00.000,1.30795,1.30897,1.30682,1.30891,13605519531.25
10.02.2017 19:00:00.000,1.30895,1.30972,1.30837,1.30887,8935309570.3125
10.02.2017 20:00:00.000,1.30887,1.30940,1.30829,1.30858,5041109863.2813
10.02.2017 21:00:00.000,1.30852,1.30934,1.30779,1.30798,4017790039.0625
